Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
Indiana Pacers,5,5,0,2.6,7.8,2.4,4.2,57.1,0.8,1.6,50.0,2.2,3.8,57.9,1.0,2.8,3.8,1.2,0.6,0.8,0.2,0.6,6.6
Miami Heat,5,4,1,2.1,5.4,1.2,2.6,46.2,0.6,1.8,33.3,2.4,3.2,75.0,0.2,1.8,2.0,1.0,0.0,0.2,0.2,0.8,2.4
Portland Trail Blazers,5,4,1,2.4,6.6,2.0,5.4,37.0,0.8,2.2,36.4,1.8,2.4,75.0,1.0,2.2,3.2,1.0,0.4,0.4,0.4,2.4,1.6
Memphis Grizzlies,4,3,1,2.5,5.5,1.8,4.5,38.9,0.3,1.0,25.0,1.8,2.5,70.0,1.3,1.0,2.3,0.8,1.3,1.3,0.0,1.3,1.5
Dallas Mavericks,4,2,2,2.0,6.5,2.0,3.5,57.1,0.3,0.5,50.0,2.3,3.0,75.0,0.5,0.8,1.3,0.5,0.3,0.3,0.0,0.8,1.0
Golden State Warriors,4,2,2,1.7,3.8,0.5,2.5,20.0,0.3,1.0,25.0,2.5,4.0,62.5,0.8,1.0,1.8,0.3,1.0,0.3,0.3,1.8,-1.5
San Antonio Spurs,6,3,3,2.1,5.2,1.7,3.5,47.6,0.5,1.0,50.0,1.3,1.7,80.0,0.3,1.5,1.8,1.0,0.5,0.3,0.0,1.8,-1.5
Washington Wizards,6,3,3,2.5,3.3,0.7,4.0,16.7,0.2,1.2,14.3,1.8,3.0,61.1,0.8,2.2,3.0,0.3,0.8,0.7,0.7,1.7,-0.5
Brooklyn Nets,7,3,4,1.5,3.1,0.4,2.0,21.4,0.3,0.7,40.0,2.0,2.4,82.4,0.3,0.6,0.9,0.4,0.3,0.0,0.1,1.7,-3.0
Los Angeles Clippers,7,3,4,1.5,5.3,1.7,2.6,66.7,0.3,0.4,66.7,1.6,2.1,73.3,0.3,0.7,1.0,1.1,0.7,0.4,0.4,1.7,1.3
Toronto Raptors,5,2,3,1.1,5.6,1.8,2.4,75.0,0.4,0.6,66.7,1.6,2.0,80.0,0.0,0.8,0.8,0.6,0.2,0.2,0.0,1.6,1.6
Oklahoma City Thunder,8,3,5,2.0,4.4,1.3,3.0,41.7,0.3,1.6,15.4,1.6,1.8,92.9,0.5,1.1,1.6,0.5,1.0,0.8,0.4,1.4,-1.1
Chicago Bulls,4,1,3,2.3,2.5,0.3,2.8,9.1,0.3,0.8,33.3,1.8,2.5,70.0,0.5,1.0,1.5,0.3,0.8,0.0,0.0,2.0,-1.8
Houston Rockets,5,1,4,2.4,5.0,1.0,4.0,25.0,0.0,0.6,0.0,3.0,4.4,68.2,1.2,2.0,3.2,0.2,0.6,0.2,0.4,1.6,-1.6
Atlanta Hawks,2,0,2,2.7,1.5,0.0,2.5,0.0,0.0,1.5,0.0,1.5,2.0,75.0,0.0,1.0,1.0,0.0,2.5,0.5,0.0,2.5,-6.5
Charlotte Bobcats,1,0,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,-4.0